"","segment_id","year","month","weekday","hour","max_speed","coordinates","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore"
"1",24948,2019,12,"Friday",14,50,"[4.475772159548538, 51.30211396173583]",0.25,0,4,16,60,13,5,9,17,17,5,0,0,106,0.05,2.4,0.12
"2",24948,2019,12,"Friday",15,50,"[4.475772159548538, 51.30211396173583]",0.76,0,13,19,103,18,6,10,35,32,4,2,0,212.8,0.1,3.58,0.358
"3",24948,2019,12,"Friday",16,50,"[4.475772159548538, 51.30211396173583]",0.79,0,27,37,137,14,16,32,40,35,4,0,0,84.8,0.04,6.42,0.2568
"4",24948,2019,12,"Friday",17,50,"[4.475772159548538, 51.30211396173583]",0.17,0,12,48,142,12,0,36,71,24,0,0,0,0,0,6.82,0
"5",24948,2019,12,"Monday",11,50,"[4.475772159548538, 51.30211396173583]",0.79,0,0,15,3,3,0,0,0,0,0,0,0,0,0,1.53,0
"6",24948,2019,12,"Monday",14,50,"[4.475772159548538, 51.30211396173583]",0.75,0,0,9,3,2,2,0,0,0,0,0,0,0,0,0.93,0
"7",24948,2019,12,"Saturday",9,50,"[4.475772159548538, 51.30211396173583]",0.04,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0.25,0
"8",24948,2019,12,"Saturday",10,50,"[4.475772159548538, 51.30211396173583]",0.53,0,8,8,87,4,0,19,38,25,2,0,0,42.4,0.02,2.07,0.0414
"9",24948,2019,12,"Saturday",11,50,"[4.475772159548538, 51.30211396173583]",0.58,0,2,34,124,4,4,23,68,21,7,0,0,148.4,0.07,4.74,0.3318
"10",24948,2019,12,"Saturday",12,50,"[4.475772159548538, 51.30211396173583]",0.73,0,1,39,94,13,5,14,47,18,0,0,0,0,0,4.89,0
"11",24948,2019,12,"Saturday",13,50,"[4.475772159548538, 51.30211396173583]",0.77,0,0,24,79,7,6,16,36,14,2,0,2,346.4,0.2,3.19,0.638
"12",24948,2019,12,"Saturday",14,50,"[4.475772159548538, 51.30211396173583]",0.79,0,0,25,100,3,7,12,33,42,4,2,0,212.8,0.1,3.5,0.35
"13",24948,2019,12,"Saturday",15,50,"[4.475772159548538, 51.30211396173583]",0.8,0,2,23,96,4,8,18,42,25,2,0,0,42.4,0.02,3.36,0.0672
"14",24948,2019,12,"Saturday",16,50,"[4.475772159548538, 51.30211396173583]",0.79,0,2,28,76,4,0,6,37,24,6,2,0,255.2,0.12,3.66,0.4392
"15",24948,2019,12,"Saturday",17,50,"[4.475772159548538, 51.30211396173583]",0.16,0,0,6,119,0,0,32,69,19,0,0,0,0,0,1.79,0
"16",24948,2019,12,"Sunday",10,50,"[4.475772159548538, 51.30211396173583]",0.55,0,7,11,58,4,4,6,29,13,4,0,0,84.8,0.04,2.03,0.0812
"17",24948,2019,12,"Sunday",11,50,"[4.475772159548538, 51.30211396173583]",0.54,0,23,25,87,8,4,8,42,21,6,2,0,255.2,0.12,4.52,0.5424
"18",24948,2019,12,"Sunday",12,50,"[4.475772159548538, 51.30211396173583]",0.79,0,13,9,88,7,2,13,30,35,3,2,0,191.6,0.09,2.43,0.2187
"19",24948,2019,12,"Sunday",13,50,"[4.475772159548538, 51.30211396173583]",0.77,0,6,4,60,3,2,8,29,17,3,0,0,63.6,0.03,1.3,0.039
"20",24948,2019,12,"Sunday",14,50,"[4.475772159548538, 51.30211396173583]",0.64,0,2,5,69,10,4,7,24,21,5,2,0,234,0.11,1.29,0.1419
"21",24948,2019,12,"Sunday",15,50,"[4.475772159548538, 51.30211396173583]",0.51,0,0,8,48,16,2,6,10,10,4,0,0,84.8,0.04,1.28,0.0512
"22",24948,2019,12,"Sunday",16,50,"[4.475772159548538, 51.30211396173583]",0.37,0,0,0,76,19,0,6,43,9,0,0,0,0,0,0.76,0
"23",24948,2019,12,"Sunday",17,50,"[4.475772159548538, 51.30211396173583]",0.12,0,0,8,76,17,9,26,17,9,0,0,0,0,0,1.56,0
"24",24948,2019,12,"Tuesday",12,50,"[4.475772159548538, 51.30211396173583]",0.71,0,4,28,2,3,0,0,0,0,0,0,0,0,0,3.02,0
"25",24948,2020,2,"Thursday",9,50,"[4.475772159548538, 51.30211396173583]",0.16,0,0,0,18,0,0,13,7,0,0,0,0,0,0,0.18,0
"26",24948,2020,2,"Thursday",10,50,"[4.475772159548538, 51.30211396173583]",0.73,0,0,0,17,3,3,10,3,0,0,0,0,0,0,0.17,0
"27",24948,2020,2,"Thursday",11,50,"[4.475772159548538, 51.30211396173583]",0.78,0,1,1,32,17,0,6,9,2,0,0,0,0,0,0.47,0
"28",24948,2020,2,"Thursday",12,50,"[4.475772159548538, 51.30211396173583]",0.77,0,1,3,46,20,2,2,16,6,0,2,2,432,0.24,0.81,0.1944
"29",24948,2020,2,"Thursday",13,50,"[4.475772159548538, 51.30211396173583]",0.75,13,1,4,28,22,3,2,3,0,0,0,0,0,0,0.86,0
"30",24948,2020,2,"Thursday",14,50,"[4.475772159548538, 51.30211396173583]",0.76,24,3,5,36,16,2,6,8,3,3,0,0,63.6,0.03,1.25,0.0375
"31",24948,2020,2,"Thursday",15,50,"[4.475772159548538, 51.30211396173583]",0.79,4,3,6,25,8,3,0,11,3,2,0,2,346.4,0.2,1.04,0.208
"32",24948,2020,2,"Thursday",16,50,"[4.475772159548538, 51.30211396173583]",0.78,1,1,5,24,8,4,4,7,3,0,0,0,0,0,0.8,0
"33",24948,2020,2,"Thursday",17,50,"[4.475772159548538, 51.30211396173583]",0.77,0,0,6,29,8,0,6,10,7,0,0,0,0,0,0.89,0
"34",24948,2020,2,"Wednesday",9,50,"[4.475772159548538, 51.30211396173583]",0.73,0,13,12,23,7,6,3,9,0,0,0,0,0,0,2.08,0
"35",24948,2020,2,"Wednesday",10,50,"[4.475772159548538, 51.30211396173583]",0.79,0,8,11,36,11,6,7,11,4,0,0,0,0,0,1.86,0
"36",24948,2020,2,"Wednesday",11,50,"[4.475772159548538, 51.30211396173583]",0.77,10,1,9,23,16,3,4,0,0,2,0,0,42.4,0.02,1.28,0.0256
"37",24948,2020,2,"Wednesday",12,50,"[4.475772159548538, 51.30211396173583]",0.77,28,8,6,40,21,2,6,11,3,0,0,0,0,0,1.68,0
"38",24948,2020,2,"Wednesday",13,50,"[4.475772159548538, 51.30211396173583]",0.66,21,2,11,31,16,2,2,7,4,4,0,0,84.8,0.04,1.72,0.0688
"39",24948,2020,2,"Wednesday",14,50,"[4.475772159548538, 51.30211396173583]",0.8,34,7,6,31,17,4,4,7,2,0,0,0,0,0,1.6,0
"40",24948,2020,2,"Wednesday",15,50,"[4.475772159548538, 51.30211396173583]",0.78,31,0,8,31,15,2,6,6,0,2,0,4,650.4,0.38,1.42,0.5396
"41",24948,2020,2,"Wednesday",16,50,"[4.475772159548538, 51.30211396173583]",0.78,8,4,3,41,18,4,13,7,0,0,0,0,0,0,0.99,0
"42",24948,2020,2,"Wednesday",17,50,"[4.475772159548538, 51.30211396173583]",0.76,0,1,4,26,3,7,11,7,0,0,0,0,0,0,0.71,0
"43",24948,2020,2,"Wednesday",18,50,"[4.475772159548538, 51.30211396173583]",0.77,0,0,4,25,0,0,10,13,3,0,0,0,0,0,0.65,0
"44",26408,2019,11,"Saturday",17,50,"[3.705401392751692, 51.035918198489846]",0.25,16,0,72,219,12,32,116,52,8,0,0,0,0,0,9.55,0
"45",26408,2019,12,"Friday",9,50,"[3.705401392751692, 51.035918198489846]",0.05,0,0,152,369,66,66,87,109,22,0,0,22,3344,1.98,18.89,37.4022
"46",26408,2019,12,"Friday",10,50,"[3.705401392751692, 51.035918198489846]",0.44,28.25,10.5,27,198.5,9.75,27.25,79.75,62.75,13.75,5,0.5,1.75,404,0.2225,5.4925,1.22208125
"47",26408,2019,12,"Friday",11,50,"[3.705401392751692, 51.035918198489846]",0.7525,35.25,9.75,28.5,195.5,23.25,35.75,73.75,49,13.25,1.75,2.5,0,197.1,0.0925,5.645,0.5221625
"48",26408,2019,12,"Friday",12,50,"[3.705401392751692, 51.035918198489846]",0.7575,29,6.5,35.5,202,11.5,26,79.5,67.75,12.25,3.75,0.75,3.5,659.5,0.375,6.185,2.319375
"49",26408,2019,12,"Friday",13,50,"[3.705401392751692, 51.035918198489846]",0.7875,41.5,11.25,52,214,23.5,42.75,80.25,50.5,14.5,3,0.75,1.75,377.6,0.21,8.3175,1.746675
"50",26408,2019,12,"Friday",14,50,"[3.705401392751692, 51.035918198489846]",0.78,35.5,7.5,46.75,222.75,28.75,36.75,88.25,52.25,15.25,2,0,2.25,384.4,0.2225,7.6325,1.69823125
"51",26408,2019,12,"Friday",15,50,"[3.705401392751692, 51.035918198489846]",0.7575,34,9.75,39.75,230.75,35,40.25,90.5,50.75,13,3.5,0,1.75,340.2,0.1925,7.11,1.368675
"52",26408,2019,12,"Friday",16,50,"[3.705401392751692, 51.035918198489846]",0.745,39.25,8,50.75,242.75,32.25,49.75,96.25,53.5,12,0.5,1,1,226.6,0.125,8.295,1.036875
"53",26408,2019,12,"Friday",17,50,"[3.705401392751692, 51.035918198489846]",0.2375,44,8.5,48.25,270.75,32.75,57.75,110.5,64.25,5.5,0,0,2,304,0.18,8.3975,1.51155
"54",26408,2019,12,"Monday",9,50,"[3.705401392751692, 51.035918198489846]",0.2,11.6666666666667,10.3333333333333,73.3333333333333,242,26.3333333333333,54.3333333333333,97.6666666666667,44.3333333333333,8.66666666666667,3.66666666666667,3.66666666666667,5.66666666666667,1173.73333333333,0.656666666666667,10.3866666666667,6.82057777777778
"55",26408,2019,12,"Monday",10,50,"[3.705401392751692, 51.035918198489846]",0.688,28.8,6.2,45.4,178.8,17.8,28.8,74.4,46.6,10.6,1.4,0.4,2.4,420.08,0.242,6.926,1.676092
"56",26408,2019,12,"Monday",11,50,"[3.705401392751692, 51.035918198489846]",0.794,29.8,6.6,33,156.6,18.4,29.2,65.2,32.4,10.8,2.2,0.4,0.8,193.84,0.106,5.494,0.582364
"57",26408,2019,12,"Monday",12,50,"[3.705401392751692, 51.035918198489846]",0.772,23.6,8.4,40,176.4,22.2,27.4,71,43.8,10,1.8,1,1.8,375.76,0.21,6.42,1.3482
"58",26408,2019,12,"Monday",13,50,"[3.705401392751692, 51.035918198489846]",0.768,30.8,8.2,57,187.4,15.2,31.4,68.2,53.6,15,4.6,1,2,465.52,0.256,8.292,2.122752
"59",26408,2019,12,"Monday",14,50,"[3.705401392751692, 51.035918198489846]",0.776,31.2,9,48.6,208.2,20.8,34.2,82,52.4,16,3.2,1.2,2,448.64,0.248,7.704,1.910592
"60",26408,2019,12,"Monday",15,50,"[3.705401392751692, 51.035918198489846]",0.788,35,9,38,195.8,16.6,34.6,82,50.4,11.8,2.2,0,1.4,259.44,0.148,6.558,0.970584
