,bike,bike_lft,bike_rgt,car,car_lft,car_rgt,car_speed_bucket,car_speed_histogram,date,lorry,lorry_lft,lorry_rgt,pct_up,pedestrian,pedestrian_lft,pedestrian_rgt,segment_id,year,month,day,hour
0,7,7,0,123,41,82,"[2, 3, 4, 5]","[21, 68, 28, 7]",2020-01-01 09:00,14,7,7,0.15,20,0,20,349547,2020,1,1,9
1,14,5,9,153,61,92,"[0, 1, 2, 3, 4, 5, 6, 7]","[11, 7, 21, 71, 40, 4, 2, 2]",2020-01-01 10:00,15,6,9,0.79,26,15,11,349547,2020,1,1,10
2,19,6,13,306,124,182,"[0, 1, 2, 3, 4, 5, 6, 7]","[25, 8, 45, 145, 80, 4, 2, 2]",2020-01-01 11:00,26,16,10,0.79,26,13,13,349547,2020,1,1,11
3,50,27,23,511,234,277,"[0, 1, 2, 3, 4, 5, 6]","[26, 51, 116, 231, 82, 6, 3]",2020-01-01 12:00,21,13,8,0.77,36,22,14,349547,2020,1,1,12
4,32,17,15,524,259,265,"[0, 1, 2, 3, 4, 5, 7]","[22, 17, 115, 254, 93, 16, 9]",2020-01-01 13:00,19,9,10,0.79,20,14,6,349547,2020,1,1,13
5,34,9,25,679,275,404,"[0, 1, 2, 3, 4, 5, 6, 7]","[29, 64, 158, 301, 108, 13, 4, 6]",2020-01-01 14:00,39,30,9,0.77,17,9,8,349547,2020,1,1,14
6,51,29,22,728,338,390,"[0, 1, 2, 3, 4, 5, 7]","[54, 71, 211, 312, 74, 8, 2]",2020-01-01 15:00,42,28,14,0.78,44,27,17,349547,2020,1,1,15
7,36,19,17,715,354,361,"[0, 1, 2, 3, 4, 5, 6, 7]","[59, 53, 212, 315, 64, 8, 2, 6]",2020-01-01 16:00,42,32,10,0.78,33,22,11,349547,2020,1,1,16
8,48,24,24,703,298,405,"[0, 1, 2, 3, 4, 5, 6, 7]","[58, 81, 216, 270, 61, 7, 2, 11]",2020-01-01 17:00,33,23,10,0.57,12,7,5,349547,2020,1,1,17
9,88,25,63,558,171,387,"[0, 1, 2, 3, 4, 5, 6, 7]","[20, 26, 134, 210, 83, 64, 7, 20]",2020-01-02 09:00,57,38,19,0.16,19,0,19,349547,2020,1,2,9
